Read_Name	Origin_Gene	Mapped_Gene
Read13686	PKD1P4	PKD1P4
Read73008	PKD1P3	PKD1P1
Read67815	PKD1P2	PKD1P2
Read64732	PKD1P3	PKD1P6
Read56041	PKD1P6	PKD1P6
Read23477	PKD1P1	PKD1P4
Read61565	PKD1P2	PKD1P2
Read73748	PKD1P2	PKD1P2
Read77423	PKD1P2	PKD1P4
Read31214	PKD1P1	PKD1P1
Read14344	PKD1P3	PKD1P6
Read54078	PKD1P4	PKD1P1
Read63023	PKD1P3	PKD1P3
Read97449	PKD1P4	PKD1P4
Read11935	PKD1P1	PKD1P1
Read31528	PKD1	PKD1
Read39784	PKD1P6	PKD1P6
Read76847	PKD1	PKD1
Read82960	PKD1P1	PKD1P5
Read16526	PKD1P5	PKD1P5
Read94929	PKD1P3	PKD1P3
Read25264	PKD1P5	PKD1P3
Read95186	PKD1P3	PKD1P3
Read41808	PKD1P2	PKD1P2
Read47229	PKD1P5	PKD1P5
Read11284	PKD1	PKD1
Read23070	PKD1P4	PKD1P5
Read53300	PKD1P4	PKD1P4
Read53106	PKD1P3	PKD1P6
Read54100	PKD1P2	PKD1P2
Read73895	PKD1P3	PKD1P3
Read45462	PKD1P4	PKD1P2
Read70427	PKD1P5	PKD1P5
Read24135	PKD1P3	PKD1P1
Read95108	PKD1P6	PKD1P6
Read14359	PKD1	PKD1
Read57660	PKD1P3	PKD1P3
Read40464	PKD1P6	PKD1P6
Read55990	PKD1P5	PKD1P5
Read51182	PKD1P1	PKD1P5
Read75017	PKD1P1	PKD1P5
Read8287	PKD1P3	PKD1P3
Read3174	PKD1P4	PKD1P2
Read43297	PKD1P5	PKD1P1
Read7922	PKD1P4	PKD1P4
Read18060	PKD1P1	PKD1P5
Read58039	PKD1P1	PKD1P5
Read7375	PKD1P4	PKD1P4
Read39757	PKD1P3	PKD1P3
Read97857	PKD1P4	PKD1P1
Read5263	PKD1P4	PKD1P4
Read11983	PKD1	PKD1
Read97630	PKD1P2	PKD1P5
Read9299	PKD1	PKD1
Read32569	PKD1P4	PKD1P3
Read63691	PKD1	PKD1
Read20848	PKD1P5	PKD1P3
Read24642	PKD1P6	PKD1P6
Read43144	PKD1P4	PKD1P4
Read31981	PKD1	PKD1P6
Read18328	PKD1P3	PKD1P3
Read92689	PKD1P2	PKD1P2
Read84914	PKD1P3	PKD1P3
Read85516	PKD1P4	PKD1P3
Read2376	PKD1P6	PKD1P6
Read25771	PKD1	PKD1
Read10772	PKD1P6	PKD1P6
Read50779	PKD1P3	PKD1P3
Read11231	PKD1P3	PKD1P3
Read44922	PKD1P4	PKD1P4
Read82173	PKD1P2	PKD1P4
Read37557	PKD1P6	PKD1P6
Read64347	PKD1P2	PKD1P5
Read11211	PKD1P3	PKD1P1
Read41727	PKD1P1	PKD1P1
Read12628	PKD1P3	PKD1P4
Read64292	PKD1P3	PKD1P4
Read52326	PKD1P4	PKD1P4
Read66646	PKD1P3	PKD1P5
Read4727	PKD1P4	PKD1P4
Read88164	PKD1P3	PKD1P3
Read46055	PKD1P2	PKD1P2
