Read_Name	Origin_Gene	Mapped_Gene
Read679	PKD1P4	NONE
Read680	PKD1P4	NONE
Read681	PKD1P2	PKD1P2
Read682	PKD1P5	NONE
Read683	PKD1P3	PKD1P3
Read684	PKD1P3	NONE
Read685	PKD1	PKD1
Read686	PKD1P1	NONE
Read687	PKD1P3	PKD1P3
Read688	PKD1	PKD1
Read689	PKD1P2	PKD1P2
Read690	PKD1P5	PKD1P5
Read691	PKD1P4	NONE
Read692	PKD1	PKD1
Read693	PKD1P6	NONE
Read694	PKD1P4	NONE
Read695	PKD1P2	NONE
Read696	PKD1	PKD1
Read697	PKD1	PKD1
Read698	PKD1	PKD1
Read699	PKD1P5	NONE
Read700	PKD1P1	NONE
Read701	PKD1P5	NONE
Read702	PKD1P1	NONE
Read703	PKD1P1	NONE
Read704	PKD1P4	NONE
Read705	PKD1P2	NONE
Read706	PKD1P1	NONE
Read707	PKD1P3	PKD1P3
Read708	PKD1P1	NONE
Read709	PKD1	PKD1
Read710	PKD1P6	PKD1P6
Read711	PKD1P6	NONE
Read712	PKD1	PKD1
Read713	PKD1	PKD1
Read714	PKD1P1	NONE
Read715	PKD1P4	NONE
Read716	PKD1P2	NONE
Read717	PKD1P6	PKD1P6
Read718	PKD1P6	PKD1P6
Read719	PKD1P2	NONE
Read720	PKD1P2	NONE
Read721	PKD1P3	PKD1P3
Read722	PKD1P3	NONE
Read723	PKD1P2	NONE
Read724	PKD1	PKD1
Read725	PKD1P5	NONE
Read726	PKD1P5	NONE
Read727	PKD1P5	NONE
Read728	PKD1P5	NONE
Read729	PKD1P6	PKD1P6
Read730	PKD1	PKD1
Read731	PKD1P6	PKD1P6
Read732	PKD1	PKD1
Read733	PKD1P6	PKD1P6
Read734	PKD1P4	NONE
Read735	PKD1P1	NONE
Read736	PKD1P6	PKD1P6
Read737	PKD1P3	NONE
Read738	PKD1P3	NONE
Read739	PKD1P1	NONE
Read740	PKD1	PKD1
Read741	PKD1P1	NONE
Read742	PKD1P1	NONE
Read743	PKD1P6	PKD1P6
Read744	PKD1P6	PKD1P6
Read745	PKD1	PKD1
Read746	PKD1	PKD1
Read747	PKD1P3	NONE
Read748	PKD1P3	NONE
Read749	PKD1	PKD1
Read750	PKD1P5	NONE
Read751	PKD1P2	NONE
Read752	PKD1P6	PKD1P6
Read753	PKD1P4	NONE
Read754	PKD1	PKD1
Read755	PKD1P2	PKD1P2
Read756	PKD1P1	NONE
Read757	PKD1P6	PKD1P6
Read758	PKD1P2	PKD1P2
Read759	PKD1	PKD1
Read760	PKD1P5	NONE
Read761	PKD1P5	PKD1P5
Read762	PKD1P3	NONE
Read763	PKD1P3	NONE
Read764	PKD1P4	NONE
Read765	PKD1P6	PKD1P6
Read766	PKD1P1	PKD1P1
Read767	PKD1P1	NONE
Read768	PKD1P6	PKD1P6
Read769	PKD1P1	NONE
Read770	PKD1P3	NONE
Read771	PKD1P6	NONE
Read772	PKD1	PKD1
Read773	PKD1	PKD1
Read774	PKD1P6	NONE
Read775	PKD1P3	PKD1P3
Read776	PKD1P3	NONE
Read777	PKD1	PKD1
Read778	PKD1P1	PKD1P1
Read779	PKD1P6	PKD1P6
Read780	PKD1P5	NONE
Read781	PKD1P6	PKD1P6
Read782	PKD1P6	PKD1P6
Read783	PKD1P2	NONE
Read784	PKD1P1	NONE
Read785	PKD1P5	NONE
Read786	PKD1P4	NONE
Read787	PKD1	PKD1
Read788	PKD1P4	PKD1P4
Read789	PKD1P4	PKD1P4
Read790	PKD1P4	PKD1P4
Read791	PKD1P2	NONE
Read792	PKD1P5	NONE
Read793	PKD1P3	PKD1P3
Read794	PKD1P2	NONE
Read795	PKD1P3	NONE
Read796	PKD1P2	PKD1P2
Read797	PKD1P1	NONE
Read798	PKD1P4	NONE
Read799	PKD1P1	NONE
Read800	PKD1	PKD1
Read801	PKD1P2	NONE
Read802	PKD1	PKD1
Read803	PKD1P4	PKD1P4
Read804	PKD1P1	NONE
Read805	PKD1P6	PKD1P6
Read806	PKD1P4	NONE
Read807	PKD1P4	NONE
Read808	PKD1P1	NONE
Read809	PKD1P3	PKD1P3
Read810	PKD1P4	NONE
Read811	PKD1P6	PKD1P6
Read812	PKD1P5	NONE
Read813	PKD1P1	NONE
Read814	PKD1P5	NONE
Read815	PKD1P5	NONE
Read816	PKD1P5	NONE
Read817	PKD1P2	NONE
Read818	PKD1P3	PKD1P3
Read819	PKD1P5	PKD1P5
Read820	PKD1P3	PKD1P3
Read821	PKD1P3	PKD1P3
Read822	PKD1P6	NONE
Read823	PKD1P1	NONE
