Read_Name	Origin_Gene	Mapped_Gene
Read60295	PKD1	PKD1
Read60296	PKD1	PKD1
Read60299	PKD1	PKD1
Read60301	PKD1P3	PKD1P3
Read60303	PKD1P1	PKD1P1
Read60304	PKD1P6	PKD1P6
Read60306	PKD1P5	PKD1P5
Read60311	PKD1P6	PKD1P6
Read60315	PKD1P6	PKD1P6
Read60316	PKD1	PKD1
Read60317	PKD1P6	PKD1P6
Read60319	PKD1P4	PKD1P4
Read60320	PKD1P6	PKD1P6
Read60322	PKD1	PKD1
Read60324	PKD1	PKD1
Read60329	PKD1P6	PKD1P6
Read60330	PKD1	PKD1
Read60332	PKD1P6	PKD1P6
Read60340	PKD1P3	PKD1P3
Read60342	PKD1P2	PKD1P2
Read60344	PKD1P3	PKD1P3
Read60345	PKD1P5	PKD1P5
Read60348	PKD1	PKD1
Read60350	PKD1P1	PKD1P1
Read60352	PKD1P6	PKD1P6
Read60354	PKD1	PKD1
Read60358	PKD1P6	PKD1P6
Read60363	PKD1	PKD1
Read60364	PKD1P4	PKD1P4
Read60365	PKD1P6	PKD1P6
Read60366	PKD1P6	PKD1P6
Read60369	PKD1	PKD1
Read60371	PKD1P4	PKD1P4
Read60374	PKD1P3	PKD1P3
Read60375	PKD1	PKD1
Read60376	PKD1P2	PKD1P2
Read60381	PKD1P6	PKD1P6
Read60382	PKD1P6	PKD1P6
Read60383	PKD1	PKD1
Read60384	PKD1	PKD1
Read60388	PKD1	PKD1
Read60390	PKD1P3	PKD1P3
Read60392	PKD1P1	PKD1P1
Read60398	PKD1	PKD1
Read60401	PKD1P6	PKD1P6
Read60402	PKD1P6	PKD1P6
Read60404	PKD1	PKD1
Read60406	PKD1P6	PKD1P6
Read60409	PKD1P1	PKD1P1
Read60418	PKD1P2	PKD1P2
Read60419	PKD1P6	PKD1P6
Read60420	PKD1	PKD1
Read60424	PKD1P5	PKD1P5
Read60426	PKD1P5	PKD1P5
Read60427	PKD1	PKD1
Read60428	PKD1P6	PKD1P6
Read60432	PKD1P3	PKD1P3
Read60438	PKD1	PKD1
Read60442	PKD1	PKD1
Read60448	PKD1P6	PKD1P6
Read60451	PKD1P4	PKD1P4
Read60462	PKD1	PKD1
Read60473	PKD1P4	PKD1P4
Read60474	PKD1P2	PKD1P2
Read60476	PKD1	PKD1
Read60477	PKD1P2	PKD1P2
Read60478	PKD1	PKD1
Read60479	PKD1	PKD1
Read60482	PKD1P2	PKD1P2
Read60483	PKD1	PKD1
Read60484	PKD1P5	PKD1P5
Read60486	PKD1	PKD1
Read60488	PKD1P3	PKD1P3
Read60490	PKD1	PKD1
Read60494	PKD1P4	PKD1P4
Read60502	PKD1P5	PKD1P5
Read60504	PKD1P1	PKD1P1
Read60505	PKD1P6	PKD1P6
Read60506	PKD1P4	PKD1P4
Read60507	PKD1	PKD1
Read60510	PKD1P5	PKD1P5
Read60513	PKD1P6	PKD1P6
Read60514	PKD1P5	PKD1P5
Read60515	PKD1	PKD1
Read60519	PKD1P6	PKD1P6
Read60521	PKD1P6	PKD1P6
Read60524	PKD1P4	PKD1P4
Read60525	PKD1P6	PKD1P6
Read60530	PKD1	PKD1
Read60531	PKD1	PKD1
Read60536	PKD1	PKD1
Read60538	PKD1P5	PKD1P5
Read60539	PKD1	PKD1
Read60540	PKD1P6	PKD1P6
Read60541	PKD1P3	PKD1P3
Read60542	PKD1	PKD1
Read60543	PKD1P6	PKD1P6
Read60548	PKD1	PKD1
Read60551	PKD1P2	PKD1P2
Read60554	PKD1P1	PKD1P1
Read60558	PKD1P6	PKD1P6
Read60564	PKD1P3	PKD1P3
Read60565	PKD1P2	PKD1P2
Read60566	PKD1	PKD1
Read60567	PKD1P6	PKD1P6
Read60569	PKD1P6	PKD1P6
Read60570	PKD1P2	PKD1P2
Read60571	PKD1P2	PKD1P2
Read60572	PKD1P3	PKD1P3
Read60573	PKD1P6	PKD1P6
Read60578	PKD1P4	PKD1P4
Read60579	PKD1P2	PKD1P2
Read60580	PKD1	PKD1
Read60582	PKD1	PKD1
Read60584	PKD1	PKD1
Read60590	PKD1P2	PKD1P2
Read60591	PKD1P3	PKD1P3
Read60592	PKD1P6	PKD1P6
Read60596	PKD1	PKD1
Read60597	PKD1P5	PKD1P5
Read60598	PKD1P5	PKD1P5
Read60599	PKD1P6	PKD1P6
Read60600	PKD1P2	PKD1P2
Read60604	PKD1	PKD1
Read60606	PKD1P6	PKD1P6
Read60607	PKD1P2	PKD1P2
Read60608	PKD1P6	PKD1P6
Read60611	PKD1P3	PKD1P3
Read60612	PKD1P6	PKD1P6
Read60614	PKD1	PKD1
Read60615	PKD1P5	PKD1P5
Read60617	PKD1	PKD1
Read60620	PKD1P6	PKD1P6
Read60621	PKD1P6	PKD1P6
Read60622	PKD1P6	PKD1P6
Read60628	PKD1P5	PKD1P5
Read60632	PKD1	PKD1
Read60635	PKD1P6	PKD1P6
Read60639	PKD1	PKD1
Read60640	PKD1	PKD1
Read60641	PKD1P2	PKD1P2
Read60644	PKD1P6	PKD1P6
Read60646	PKD1P1	PKD1P1
Read60650	PKD1P6	PKD1P6
Read60651	PKD1P2	PKD1P2
Read60653	PKD1P6	PKD1P6
Read60655	PKD1	PKD1
Read60656	PKD1P6	PKD1P6
Read60657	PKD1P2	PKD1P2
Read60660	PKD1	PKD1
Read60664	PKD1P3	PKD1P3
Read60666	PKD1	PKD1
Read60667	PKD1P4	PKD1P4
Read60669	PKD1P4	PKD1P4
Read60671	PKD1	PKD1
Read60672	PKD1	PKD1
Read60675	PKD1	PKD1
Read60680	PKD1P2	PKD1P2
Read60681	PKD1	PKD1
Read60683	PKD1P6	PKD1P6
Read60684	PKD1	PKD1
Read60685	PKD1	PKD1
Read60687	PKD1P2	PKD1P2
Read60689	PKD1P2	PKD1P2
Read60690	PKD1	PKD1
Read60692	PKD1	PKD1
Read60695	PKD1	PKD1
Read60697	PKD1P6	PKD1P6
Read60698	PKD1P6	PKD1P6
Read60701	PKD1P3	PKD1P3
Read60703	PKD1	PKD1
Read60704	PKD1	PKD1
Read60708	PKD1	PKD1
Read60710	PKD1	PKD1
Read60712	PKD1P2	PKD1P2
Read60714	PKD1P1	PKD1P1
Read60715	PKD1	PKD1
Read60725	PKD1	PKD1
Read60730	PKD1	PKD1
Read60733	PKD1P6	PKD1P6
Read60737	PKD1P4	PKD1P4
